city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Malegaon,India,799708,20.5576062,74.5246514,26.9,8.6,90.0,12.4,12.5,1.2,147.0
Banjarmasin,Indonesia,799706,-3.3187496,114.5925828,30.0,8.4,277.0,5.4,5.7,1.7,52.0
Tirupati,India,797302,13.6316368,79.4231711,27.1,10.8,60.0,40.3,43.0,0.9,171.0
Yuncheng,China,797246,35.027637,111.002141,2.0,2.9,173.0,11.1,11.4,15.7,51.0
Yuxi,China,795748,24.3511487,102.527044,17.1,15.0,249.0,7.9,8.1,0.4,114.0
Niigata,Japan,793974,37.9163757,139.0365062,2.7,23.1,309.0,4.1,6.5,1.4,81.0
Hamilton,Canada,793083,43.2560802,-79.8728583,-8.1,16.3,235.0,3.0,3.2,5.9,72.0
Yanji,China,792664,42.9047375,129.5043827,-8.6,4.3,318.0,5.1,5.8,5.9,68.0
Zigong,China,791579,29.3419256,104.7761224,17.5,9.2,11.0,41.6,42.6,16.8,63.0
Seattle,United States,791093,47.6038321,-122.330062,7.9,4.4,171.0,13.0,14.4,54.1,28.0
Shaoyang,China,790986,27.2431609,111.4624572,15.8,9.7,68.0,107.8,108.3,29.5,56.0
Qingyuan,China,790694,23.6832984,113.0505994,21.6,2.8,40.0,44.8,45.2,20.3,102.0
Maturin,Venezuela,789918,9.7422774,-63.1888854,21.5,3.1,36.0,16.1,17.9,6.6,25.0
Sialkot,Pakistan,789386,32.4935378,74.5411575,20.6,6.3,239.0,73.3,74.7,5.8,211.0
Tongliao,China,788345,43.6151762,122.2601035,-7.9,7.7,191.0,4.9,5.4,8.4,54.0
Nay Pyi Taw,Myanmar,788238,19.7753289,96.1032552,28.8,7.8,338.0,7.0,7.2,0.4,107.0
Tongling,China,786000,30.9474585,117.805068,12.6,17.1,65.0,20.1,21.2,28.1,52.0
Dazhou,China,785116,31.2101038,107.4629791,11.8,12.2,19.0,23.8,24.0,10.6,56.0
Al-Hudaydah,Yemen,784856,14.7978677,42.9544872,26.0,12.3,220.0,13.9,28.7,1.1,101.0
Tamale,Ghana,784420,9.4051992,-0.8423986,28.6,11.3,187.0,26.4,35.6,1.9,76.0
Wuzhou,China,784261,23.478767,111.277099,21.1,5.2,56.0,39.8,40.2,16.6,104.0
Mangalore,India,778685,12.8698101,74.8430082,29.9,4.7,180.0,25.7,26.3,1.5,159.0
Amara,Iraq,778052,31.8497708,47.1496466,14.6,3.6,233.0,20.5,37.1,6.1,72.0
Huambo,Angola,777336,-12.7772455,15.7346713,19.2,1.9,22.0,4.2,5.2,1.2,68.0
Zhangjiagang,China,775312,31.8782976,120.5514595,10.0,14.6,70.0,10.5,12.8,12.6,70.0
Sargodha,Pakistan,775091,32.0889657,72.6776943,20.9,5.4,217.0,55.8,56.0,4.3,148.0
Bacoor,Philippines,774229,14.458816,120.959579,28.5,19.4,89.0,9.2,10.9,8.3,78.0
Jiamusi,China,774118,46.8037423,130.3747185,-13.9,8.6,213.0,17.6,18.7,13.3,50.0
Dongtai,China,773030,32.8705885,120.3153607,8.2,15.4,74.0,6.9,9.5,2.9,80.0
Nanded Waghala,India,772996,19.169335,77.311013,30.4,8.2,75.0,16.8,17.1,0.5,146.0
Ansan,South Korea,771029,37.3217152,126.8308604,4.2,8.5,54.0,20.4,21.4,58.4,12.0
Krakow,Poland,769375,50.0619474,19.9368564,4.4,8.3,275.0,24.2,26.1,23.6,25.0
Lattakia,Syria,767534,35.5200185,35.7781044,16.0,6.1,40.0,10.8,12.2,2.0,60.0
Bhavnagar,India,766887,21.7718836,72.1416449,28.2,9.2,42.0,15.4,15.5,1.4,152.0
Ankang,China,766403,32.7064648,109.0177837,7.2,4.6,135.0,7.4,7.4,14.4,27.0
Kurnool,India,765324,15.8309251,78.0425373,29.3,6.6,77.0,19.3,23.3,0.5,146.0
Taicang,China,764938,31.4590371,121.1264772,10.1,14.7,62.0,17.2,20.0,28.6,60.0
Sao Jose dos Campos,Brazil,764500,-23.1867782,-45.8854538,16.2,2.9,330.0,11.7,12.1,16.1,22.0
Panzhihua,China,761755,26.5860102,101.7179276,21.6,2.0,135.0,20.1,20.5,6.3,135.0
Sokoto,Nigeria,761331,13.0610588,5.2373194,23.5,11.3,97.0,135.0,1024.5,3.0,58.0
Uvira,DR Congo,760857,-3.4055866,29.1375509,16.9,11.6,64.0,15.9,16.1,0.7,86.0
Zarqa,Jordan,758893,32.0668425,36.0885771,14.2,11.9,284.0,9.7,12.0,4.9,59.0
Yuyao,China,758680,30.0403094,121.1500882,13.2,16.1,61.0,12.0,15.3,9.3,86.0
Cotonou,Benin,757989,6.3676953,2.4252507,28.6,3.9,202.0,10.4,22.7,3.1,74.0
Rasht,Iran,757765,37.2793607,49.5846102,15.6,4.0,350.0,7.2,9.4,17.2,42.0
Ribeirao Preto,Brazil,757604,-21.1776315,-47.8100983,21.5,3.0,104.0,140.6,142.0,74.5,2.0
Oaxaca de Juarez,Mexico,757292,17.0604663,-96.7253575,8.7,2.9,300.0,6.7,6.9,3.0,69.0
Sheffield,United Kingdom,756783,53.3806626,-1.4702278,9.6,11.5,176.0,6.3,8.2,11.3,44.0
Buffalo City,South Africa,756507,-32.898422,27.8825707,27.0,8.3,214.0,4.5,5.5,1.7,83.0
Vientiane,Laos,755941,17.9640988,102.6133707,25.6,6.3,347.0,7.9,8.3,0.7,107.0
Yulin Shaanxi,China,754296,38.5323822,109.8792418,-4.7,30.5,315.0,8.0,20.8,3.6,60.0
Bali,Indonesia,753877,-7.962132,112.753241,27.8,10.8,195.0,32.7,34.0,7.2,105.0
Herat,Afghanistan,752910,34.3491443,62.2163252,20.2,8.2,195.0,7.8,15.4,0.8,86.0
Longyan,China,752672,25.0767425,117.0123483,18.1,4.7,94.0,27.0,28.6,8.3,86.0
Gold Coast,Australia,752570,-28.0023731,153.4145987,21.2,7.9,106.0,6.5,10.3,2.0,44.0
Gulbarga,India,751802,17.3310003,76.8334228,29.9,8.3,88.0,16.2,19.9,1.3,148.0
Jammu,India,751521,32.7185614,74.8580917,21.2,8.6,213.0,53.0,54.1,5.4,184.0
Miluo,China,751457,28.8101339,113.0613336,11.2,19.5,356.0,81.7,82.0,29.6,74.0
